Linux 4.15.0-211-generic (133414165dce) 	06/24/23 	_x86_64_	(96 CPU)

00:32:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:36:25        all      0.17      0.00      0.98      0.00      0.00     98.85
00:36:26        all      0.19      0.02      0.98      0.00      0.00     98.81
00:36:27        all      0.19      0.02      0.95      0.00      0.00     98.84
00:36:28        all      0.47      0.01      1.75      0.00      0.00     97.77
00:36:29        all      0.22      0.01      0.92      0.00      0.00     98.85
00:36:30        all      0.21      0.02      0.95      0.00      0.00     98.82
00:36:31        all     25.05      0.00      5.23      0.00      0.00     69.71
00:36:32        all     31.14      0.02      2.21      0.00      0.00     66.63
00:36:33        all      0.23      0.00      1.02      0.00      0.00     98.75
00:36:34        all      0.25      0.01      0.92      0.00      0.00     98.82
00:36:35        all      0.21      0.01      0.97      0.00      0.00     98.81
00:36:36        all      0.22      0.03      0.94      0.00      0.00     98.81
00:36:37        all      0.24      0.01      0.89      0.00      0.00     98.86
00:36:38        all      0.50      0.02      1.66      0.00      0.00     97.81
00:36:39        all      0.25      0.01      0.94      0.00      0.00     98.80
00:36:40        all      0.23      0.01      0.89      0.00      0.00     98.87
00:36:41        all      0.28      0.01      0.91      0.00      0.00     98.80
00:36:42        all      0.18      0.01      0.96      0.00      0.00     98.85
00:36:43        all      0.21      0.02      0.97      0.00      0.00     98.80
00:36:44        all      0.24      0.02      0.92      0.00      0.00     98.82
00:36:45        all      0.21      0.02      0.97      0.00      0.00     98.80
00:36:46        all     34.03      0.03      4.44      0.00      0.00     61.50
00:36:47        all     11.84      0.00      1.53      0.00      0.00     86.64
00:36:48        all      0.49      0.01      1.67      0.00      0.00     97.83
00:36:49        all      0.17      0.02      1.02      0.00      0.00     98.79
00:36:50        all      0.21      0.02      0.95      0.00      0.00     98.82
00:36:51        all      0.23      0.00      0.93      0.00      0.00     98.84
00:36:52        all      0.20      0.01      0.96      0.00      0.00     98.83
00:36:53        all      0.28      0.01      0.96      0.00      0.00     98.75
00:36:54        all      0.23      0.02      0.90      0.00      0.00     98.85
00:36:55        all      0.21      0.02      1.02      0.00      0.00     98.75
00:36:56        all      0.21      0.02      0.98      0.00      0.00     98.79
00:36:57        all      0.22      0.02      0.97      0.00      0.00     98.79
00:36:58        all      0.51      0.01      1.78      0.00      0.00     97.70
00:36:59        all      0.19      0.01      0.95      0.00      0.00     98.85
00:37:00        all      0.25      0.01      0.92      0.00      0.00     98.82
00:37:01        all      0.26      0.02      0.86      0.00      0.00     98.86
00:37:02        all     17.94      0.01      4.30      0.00      0.00     77.75
00:37:03        all     39.34      0.00      1.91      0.00      0.00     58.76
00:37:04        all      0.21      0.02      1.01      0.00      0.00     98.76
00:37:05        all      0.20      0.00      0.96      0.00      0.00     98.84
00:37:06        all      0.15      0.01      0.98      0.00      0.00     98.86
00:37:07        all      0.21      0.01      0.96      0.00      0.00     98.82
00:37:08        all      0.53      0.01      1.77      0.00      0.00     97.69
00:37:09        all      0.16      0.02      1.01      0.00      0.00     98.81
00:37:10        all      0.19      0.01      1.09      0.00      0.00     98.71
00:37:11        all      0.25      0.01      0.91      0.00      0.00     98.83
00:37:12        all      0.21      0.01      0.95      0.00      0.00     98.83
00:37:13        all      0.24      0.02      0.92      0.00      0.00     98.82
00:37:14        all      0.71      0.00      1.55      0.02      0.00     97.72
00:37:15        all      0.25      0.02      0.96      0.02      0.00     98.75
00:37:16        all      0.18      0.02      0.95      0.00      0.00     98.85
00:37:17        all     20.78      0.02      5.21      0.00      0.00     74.00
00:37:18        all     34.38      0.01      2.23      0.00      0.00     63.38
00:37:19        all      0.26      0.01      0.92      0.00      0.00     98.81
00:37:20        all      0.22      0.02      0.95      0.00      0.00     98.81
00:37:21        all      0.23      0.00      0.97      0.00      0.00     98.80
00:37:22        all      0.23      0.01      0.90      0.00      0.00     98.86
00:37:23        all      0.20      0.01      0.97      0.00      0.00     98.82
00:37:24        all      0.23      0.02      0.94      0.00      0.00     98.81
00:37:25        all      0.21      0.02      0.93      0.00      0.00     98.84
00:37:26        all      0.23      0.02      0.91      0.00      0.00     98.84
00:37:27        all      0.19      0.02      0.96      0.00      0.00     98.83
00:37:28        all      0.45      0.04      1.79      0.00      0.00     97.72
00:37:29        all      0.23      0.00      0.91      0.00      0.00     98.86
00:37:30        all      0.21      0.01      0.93      0.00      0.00     98.85
00:37:31        all      0.22      0.01      0.89      0.00      0.00     98.88
00:37:32        all      0.40      0.02      0.99      0.00      0.00     98.59
00:37:33        all      0.15      0.01      1.00      0.00      0.00     98.84
00:37:34        all     31.64      0.01      4.95      0.00      0.00     63.39
00:37:35        all     20.81      0.02      1.49      0.00      0.00     77.67
00:37:36        all      0.20      0.03      1.06      0.00      0.00     98.71
00:37:37        all      0.19      0.00      0.97      0.00      0.00     98.84
00:37:38        all      0.52      0.01      1.74      0.00      0.00     97.73
00:37:39        all      0.21      0.02      0.94      0.00      0.00     98.83
00:37:40        all      0.18      0.02      1.03      0.00      0.00     98.77
00:37:41        all      0.22      0.01      1.00      0.00      0.00     98.77
00:37:42        all      0.20      0.02      0.94      0.00      0.00     98.84
00:37:43        all      0.23      0.01      0.94      0.00      0.00     98.82
00:37:44        all      0.21      0.00      0.94      0.00      0.00     98.85
00:37:45        all      0.26      0.01      0.91      0.00      0.00     98.82
00:37:46        all      0.21      0.01      0.90      0.00      0.00     98.88
00:37:47        all      0.19      0.02      0.94      0.00      0.00     98.85
00:37:48        all      0.52      0.02      1.77      0.00      0.00     97.69
00:37:49        all      0.22      0.02      0.92      0.00      0.00     98.84
00:37:50        all     40.18      0.01      5.30      0.00      0.00     54.51
00:37:51        all      4.09      0.01      1.22      0.00      0.00     94.68
00:37:52        all      0.19      0.02      0.96      0.00      0.00     98.83
00:37:53        all      0.21      0.00      0.94      0.00      0.00     98.85
00:37:54        all      0.22      0.02      0.91      0.00      0.00     98.85
00:37:55        all      0.25      0.00      0.89      0.00      0.00     98.86
00:37:56        all      0.18      0.01      0.94      0.00      0.00     98.87
00:37:57        all      0.25      0.01      0.94      0.00      0.00     98.80
00:37:58        all      0.54      0.00      1.69      0.00      0.00     97.76
00:37:59        all      0.25      0.01      0.91      0.00      0.00     98.83
00:38:00        all      0.25      0.00      0.94      0.00      0.00     98.81
